FIPS_Code,State,Area_Name,Attribute,Value,Dataset
6093,CA,Siskiyou County,"Bachelor's degree or higher, 1990",4109.0,education
6093,CA,Siskiyou County,"Percent of adults who are not high school graduates, 1990",22.6,education
6093,CA,Siskiyou County,"Percent of adults who are high school graduates (or equivalent), 1990",31.6,education
6093,CA,Siskiyou County,"Percent of adults completing some college or associate degree, 1990",31.6,education
6093,CA,Siskiyou County,"Percent of adults with a bachelor's degree or higher, 1990",14.2,education
6093,CA,Siskiyou County,"Less than high school graduate, 2000",4978.0,education
6093,CA,Siskiyou County,"High school graduate (or equivalency), 2000",8648.0,education
6093,CA,Siskiyou County,"Some college or associate degree, 2000",11611.0,education
6093,CA,Siskiyou County,"Bachelor's degree or higher, 2000",5445.0,education
6093,CA,Siskiyou County,"Percent of adults who are not high school graduates, 2000",16.2,education
6093,CA,Siskiyou County,"Percent of adults who are high school graduates (or equivalent), 2000",28.2,education
6093,CA,Siskiyou County,"Percent of adults completing some college or associate degree, 2000",37.8,education
6093,CA,Siskiyou County,"Percent of adults with a bachelor's degree or higher, 2000",17.7,education
6093,CA,Siskiyou County,"Less than high school graduate, 2008-12",3652.0,education
6093,CA,Siskiyou County,"High school graduate (or equivalency), 2008-12",8615.0,education
6093,CA,Siskiyou County,"Some college or associate degree, 2008-12",12504.0,education
6093,CA,Siskiyou County,"Bachelor's degree or higher, 2008-12",7432.0,education
6093,CA,Siskiyou County,"Percent of adults who are not high school graduates, 2008-12",11.34055833,education
6093,CA,Siskiyou County,"Percent of adults who are high school graduates (or equivalent), 2008-12",26.75216595,education
6093,CA,Siskiyou County,"Percent of adults completing some college or associate degree, 2008-12",38.82868056,education
6093,CA,Siskiyou County,"Percent of adults with a bachelor's degree or higher, 2008-12",23.07859516,education
6093,CA,Siskiyou County,"Less than high school graduate, 2019-23",2873.0,education
6093,CA,Siskiyou County,"High school graduate (or equivalency), 2019-23",8373.0,education
6093,CA,Siskiyou County,"Some college or associate degree, 2019-23",13508.0,education
6093,CA,Siskiyou County,"Bachelor's degree or higher, 2019-23",7429.0,education
6093,CA,Siskiyou County,"Percent of adults who are not high school graduates, 2019-23",8.9270733,education
6093,CA,Siskiyou County,"Percent of adults who are high school graduates (or equivalent), 2019-23",26.01684119,education
6093,CA,Siskiyou County,"Percent of adults completing some college or associate degree, 2019-23",41.97246994,education
6093,CA,Siskiyou County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.08361557,education
6095,CA,Solano County,2013 Urban Influence Code,2.0,education
6095,CA,Solano County,2024 Urban Influence Code,4.0,education
6095,CA,Solano County,2013 Rural-urban Continuum Code,2.0,education
6095,CA,Solano County,2023 Rural-urban Continuum Code,2.0,education
6095,CA,Solano County,"Less than a high school diploma, 1970",31409.0,education
6095,CA,Solano County,"High school diploma only, 1970",33040.0,education
6095,CA,Solano County,"Some college (1-3 years), 1970",12007.0,education
6095,CA,Solano County,"Four years of college or higher, 1970",7797.0,education
6095,CA,Solano County,"Percent of adults with less than a high school diploma, 1970",37.3,education
6095,CA,Solano County,"Percent of adults with a high school diploma only, 1970",39.2,education
6095,CA,Solano County,"Percent of adults completing some college (1-3 years), 1970",14.3,education
6095,CA,Solano County,"Percent of adults completing four years of college or higher, 1970",9.3,education
6095,CA,Solano County,"Less than a high school diploma, 1980",30457.0,education
6095,CA,Solano County,"High school diploma only, 1980",51166.0,education
6095,CA,Solano County,"Some college (1-3 years), 1980",31930.0,education
6095,CA,Solano County,"Four years of college or higher, 1980",18001.0,education
6095,CA,Solano County,"Percent of adults with less than a high school diploma, 1980",23.2,education
6095,CA,Solano County,"Percent of adults with a high school diploma only, 1980",38.9,education
6095,CA,Solano County,"Percent of adults completing some college (1-3 years), 1980",24.3,education
6095,CA,Solano County,"Percent of adults completing four years of college or higher, 1980",13.7,education
6095,CA,Solano County,"Less than high school graduate, 1990",36159.0,education
6095,CA,Solano County,"High school graduate (or equivalency), 1990",56046.0,education
6095,CA,Solano County,"Some college or associate degree, 1990",77483.0,education
6095,CA,Solano County,"Bachelor's degree or higher, 1990",39125.0,education
6095,CA,Solano County,"Percent of adults who are not high school graduates, 1990",17.3,education
6095,CA,Solano County,"Percent of adults who are high school graduates (or equivalent), 1990",26.8,education
6095,CA,Solano County,"Percent of adults completing some college or associate degree, 1990",37.1,education
6095,CA,Solano County,"Percent of adults with a bachelor's degree or higher, 1990",18.7,education
6095,CA,Solano County,"Less than high school graduate, 2000",40028.0,education
6095,CA,Solano County,"High school graduate (or equivalency), 2000",60367.0,education
6095,CA,Solano County,"Some college or associate degree, 2000",93378.0,education
6095,CA,Solano County,"Bachelor's degree or higher, 2000",52715.0,education
6095,CA,Solano County,"Percent of adults who are not high school graduates, 2000",16.2,education
6095,CA,Solano County,"Percent of adults who are high school graduates (or equivalent), 2000",24.5,education
6095,CA,Solano County,"Percent of adults completing some college or associate degree, 2000",37.9,education
6095,CA,Solano County,"Percent of adults with a bachelor's degree or higher, 2000",21.4,education
6095,CA,Solano County,"Less than high school graduate, 2008-12",36107.0,education
6095,CA,Solano County,"High school graduate (or equivalency), 2008-12",65327.0,education
6095,CA,Solano County,"Some college or associate degree, 2008-12",104664.0,education
6095,CA,Solano County,"Bachelor's degree or higher, 2008-12",65922.0,education
6095,CA,Solano County,"Percent of adults who are not high school graduates, 2008-12",13.27365635,education
6095,CA,Solano County,"Percent of adults who are high school graduates (or equivalent), 2008-12",24.01551357,education
6095,CA,Solano County,"Percent of adults completing some college or associate degree, 2008-12",38.4765826,education
6095,CA,Solano County,"Percent of adults with a bachelor's degree or higher, 2008-12",24.23424748,education
6095,CA,Solano County,"Less than high school graduate, 2019-23",34788.0,education
6095,CA,Solano County,"High school graduate (or equivalency), 2019-23",76361.0,education
6095,CA,Solano County,"Some college or associate degree, 2019-23",113757.0,education
6095,CA,Solano County,"Bachelor's degree or higher, 2019-23",89064.0,education
6095,CA,Solano County,"Percent of adults who are not high school graduates, 2019-23",11.08003949,education
6095,CA,Solano County,"Percent of adults who are high school graduates (or equivalent), 2019-23",24.32111348,education
6095,CA,Solano County,"Percent of adults completing some college or associate degree, 2019-23",36.23180559,education
6095,CA,Solano County,"Percent of adults with a bachelor's degree or higher, 2019-23",28.36704144,education
6097,CA,Sonoma County,2013 Urban Influence Code,2.0,education
6097,CA,Sonoma County,2024 Urban Influence Code,4.0,education
6097,CA,Sonoma County,2013 Rural-urban Continuum Code,2.0,education
6097,CA,Sonoma County,2023 Rural-urban Continuum Code,2.0,education
6097,CA,Sonoma County,"Less than a high school diploma, 1970",41844.0,education
6097,CA,Sonoma County,"High school diploma only, 1970",40497.0,education
6097,CA,Sonoma County,"Some college (1-3 years), 1970",19904.0,education
6097,CA,Sonoma County,"Four years of college or higher, 1970",12765.0,education
6097,CA,Sonoma County,"Percent of adults with less than a high school diploma, 1970",36.4,education
6097,CA,Sonoma County,"Percent of adults with a high school diploma only, 1970",35.2,education
6097,CA,Sonoma County,"Percent of adults completing some college (1-3 years), 1970",17.3,education
6097,CA,Sonoma County,"Percent of adults completing four years of college or higher, 1970",11.1,education
6097,CA,Sonoma County,"Less than a high school diploma, 1980",42193.0,education
6097,CA,Sonoma County,"High school diploma only, 1980",64975.0,education
6097,CA,Sonoma County,"Some college (1-3 years), 1980",44609.0,education
6097,CA,Sonoma County,"Four years of college or higher, 1980",36235.0,education
6097,CA,Sonoma County,"Percent of adults with less than a high school diploma, 1980",22.4,education
6097,CA,Sonoma County,"Percent of adults with a high school diploma only, 1980",34.6,education
6097,CA,Sonoma County,"Percent of adults completing some college (1-3 years), 1980",23.7,education
6097,CA,Sonoma County,"Percent of adults completing four years of college or higher, 1980",19.3,education
6097,CA,Sonoma County,"Less than high school graduate, 1990",40368.0,education
6097,CA,Sonoma County,"High school graduate (or equivalency), 1990",62057.0,education
6097,CA,Sonoma County,"Some college or associate degree, 1990",92834.0,education
6097,CA,Sonoma County,"Bachelor's degree or higher, 1990",63446.0,education
6097,CA,Sonoma County,"Percent of adults who are not high school graduates, 1990",15.6,education
6097,CA,Sonoma County,"Percent of adults who are high school graduates (or equivalent), 1990",24.0,education
6097,CA,Sonoma County,"Percent of adults completing some college or associate degree, 1990",35.9,education
6097,CA,Sonoma County,"Percent of adults with a bachelor's degree or higher, 1990",24.5,education
6097,CA,Sonoma County,"Less than high school graduate, 2000",46237.0,education
6097,CA,Sonoma County,"High school graduate (or equivalency), 2000",62559.0,education
6097,CA,Sonoma County,"Some college or associate degree, 2000",110275.0,education
6097,CA,Sonoma County,"Bachelor's degree or higher, 2000",87493.0,education
6097,CA,Sonoma County,"Percent of adults who are not high school graduates, 2000",15.1,education
6097,CA,Sonoma County,"Percent of adults who are high school graduates (or equivalent), 2000",20.4,education
6097,CA,Sonoma County,"Percent of adults completing some college or associate degree, 2000",36.0,education
6097,CA,Sonoma County,"Percent of adults with a bachelor's degree or higher, 2000",28.5,education
6097,CA,Sonoma County,"Less than high school graduate, 2008-12",44101.0,education
6097,CA,Sonoma County,"High school graduate (or equivalency), 2008-12",66863.0,education
6097,CA,Sonoma County,"Some college or associate degree, 2008-12",114128.0,education
6097,CA,Sonoma County,"Bachelor's degree or higher, 2008-12",106203.0,education
6097,CA,Sonoma County,"Percent of adults who are not high school graduates, 2008-12",13.31170105,education
6097,CA,Sonoma County,"Percent of adults who are high school graduates (or equivalent), 2008-12",20.18231486,education
6097,CA,Sonoma County,"Percent of adults completing some college or associate degree, 2008-12",34.44905598,education
6097,CA,Sonoma County,"Percent of adults with a bachelor's degree or higher, 2008-12",32.05692812,education
6097,CA,Sonoma County,"Less than high school graduate, 2019-23",39389.0,education
6097,CA,Sonoma County,"High school graduate (or equivalency), 2019-23",65960.0,education
6097,CA,Sonoma County,"Some college or associate degree, 2019-23",114487.0,education
6097,CA,Sonoma County,"Bachelor's degree or higher, 2019-23",133865.0,education
6097,CA,Sonoma County,"Percent of adults who are not high school graduates, 2019-23",11.13624219,education
6097,CA,Sonoma County,"Percent of adults who are high school graduates (or equivalent), 2019-23",18.64851951,education
6097,CA,Sonoma County,"Percent of adults completing some college or associate degree, 2019-23",32.36829978,education
6097,CA,Sonoma County,"Percent of adults with a bachelor's degree or higher, 2019-23",37.84693852,education
6099,CA,Stanislaus County,2013 Urban Influence Code,2.0,education
6099,CA,Stanislaus County,2024 Urban Influence Code,4.0,education
6099,CA,Stanislaus County,2013 Rural-urban Continuum Code,2.0,education
6099,CA,Stanislaus County,2023 Rural-urban Continuum Code,2.0,education
6099,CA,Stanislaus County,"Less than a high school diploma, 1970",52093.0,education
6099,CA,Stanislaus County,"High school diploma only, 1970",30844.0,education
6099,CA,Stanislaus County,"Some college (1-3 years), 1970",13461.0,education
6099,CA,Stanislaus County,"Four years of college or higher, 1970",8623.0,education
6099,CA,Stanislaus County,"Percent of adults with less than a high school diploma, 1970",49.6,education
6099,CA,Stanislaus County,"Percent of adults with a high school diploma only, 1970",29.4,education
6099,CA,Stanislaus County,"Percent of adults completing some college (1-3 years), 1970",12.8,education
6099,CA,Stanislaus County,"Percent of adults completing four years of college or higher, 1970",8.2,education
6099,CA,Stanislaus County,"Less than a high school diploma, 1980",58009.0,education
6099,CA,Stanislaus County,"High school diploma only, 1980",48192.0,education
6099,CA,Stanislaus County,"Some college (1-3 years), 1980",28492.0,education
6099,CA,Stanislaus County,"Four years of college or higher, 1980",17954.0,education
6099,CA,Stanislaus County,"Percent of adults with less than a high school diploma, 1980",38.0,education
6099,CA,Stanislaus County,"Percent of adults with a high school diploma only, 1980",31.6,education
6099,CA,Stanislaus County,"Percent of adults completing some college (1-3 years), 1980",18.7,education
6099,CA,Stanislaus County,"Percent of adults completing four years of college or higher, 1980",11.8,education
6099,CA,Stanislaus County,"Less than high school graduate, 1990",70044.0,education
